2074,NSW,WALCHA,INDEPENDENT,108W FITZROY ST,2354,02 6777 2151,0,1,0,0,0,1,0,0,1,,0,,0,0,0,Yes,FALSE,0,1,151.587533,-30.984146
2075,NSW,GUMLY GUMLY,CALTEX,3723 STURT HWY,2652,02 69227263,1,1,0,1,0,1,0,1,1,,1,,0,0,1,Yes,FALSE,0,1,147.442654,-35.135559
2076,NSW,MASCOT,CALTEX,125 O'RIORDAN ST,2020,02 97007598,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,FALSE,0,0,151.191353,-33.923015
2077,VIC,KEALBA,CALTEX,CNR SUNSHINE AVE & MAIN RD EAST,3021,03 93107779,0,1,0,1,1,1,0,1,1,,1,Yes,0,1,1,No,FALSE,0,1,144.832042,-37.748571
2078,NSW,JUNEE,AMPOL,COX STREET,2663,02 69244944,0,1,0,0,0,1,0,0,1,,0,,0,1,1,No,FALSE,0,1,147.58505,-34.867453
2079,NSW,YASS,CALTEX,1715 YASS VALLEY WAY,2582,02 62264022,1,0,0,1,1,1,0,1,1,,1,,1,1,0,Yes,FALSE,0,1,148.88211,-34.806763
2080,NSW,WALCHA,CALTEX,50E FITZROY ST,2354,02 67772755,0,1,0,1,0,1,0,1,1,Yes,0,,0,1,1,No,FALSE,0,1,151.59606,-30.985847
2081,NSW,GILGANDRA,CALTEX,6425 NEWELL HWY,2827,02 68472660,1,0,0,1,1,1,0,1,1,,1,,0,1,0,Yes,FALSE,0,1,148.653117,-31.725691
2082,NSW,HOLBROOK,CALTEX,11312 HUME HWY,2644,02 60362788,0,1,0,1,1,1,0,1,1,,1,,1,0,1,Yes,TRUE,0,1,147.320576,-35.715002
2083,SA,WINGFIELD,CALTEX,664-668 SOUTH RD,5013,08 83454916,0,1,0,1,1,1,0,0,1,,1,,0,1,0,Yes,TRUE,0,1,138.564278,-34.847114
2084,TAS,TERRYLANDS,CALTEX,THE BOULEVARDE,7320,03 64311742,0,1,0,0,0,1,0,0,0,Yes,0,,0,0,0,No,TRUE,0,1,145.896677,-41.062619
2085,NSW,MANLY VALE,CALTEX,236-238 CONDAMINE ST,2093,02 99498200,1,0,0,1,0,0,0,1,1,Yes,0,,0,0,0,No,FALSE,0,1,151.267105,-33.785199
2086,NSW,EAST MAITLAND,CALTEX,NEWCASTLE RD CNR WILLIAM ST,2323,02 49337138,1,0,0,1,1,0,0,1,1,Yes,0,,0,0,1,No,FALSE,0,1,151.582988,-32.748781
2087,TAS,MIDDLETON,INDEPENDENT,CHANNEL HWY,7163,03 62921610,0,1,1,0,0,1,0,0,1,,0,,0,0,0,No,FALSE,0,0,147.253819,-43.233077
2088,ACT,FYSHWICK,CALTEX,11 BARRIER ST,2609,02 62855999,0,0,0,0,0,1,0,0,1,,0,,0,0,0,No,FALSE,0,0,149.173843,-35.329635
2089,NSW,GOULBURN,CALTEX,13 SLOANE ST,2580,02 48212410,0,1,0,0,0,1,0,1,1,,0,,0,0,0,Yes,FALSE,0,1,149.710709,-34.769996
